Folio,Periodo,Genero,Nivel,Entrada,PNA,PAA,Admitido,PrepaTEC,Perfil,Inscrito,P_Beca,P_Prestamo,Edad,Nivel_SE,Rezago,Tipo_Zona,Solicitud_B,FGS,Papas_Exatec,Foraneo,Intencion
DEDDHJ,AD19,F,Profesional,IIT,88.37,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Local,Si
DEDEHC,AD19,M,Profesional,NEG,90,1230,1,SI,Perfil A+,Si,0.45,0,18,4,Bajo,Urbano,Si,No,Sin información,Local,Si
DJKHEH,AD19,M,Profesional,IBQ,96.3,1450,1,NO,Perfil A+,Si,0,0,29,7,Bajo,Urbano,No,No,Sin información,Local,No aplica
EFFFEB,AD19,F,Profesional,IIT,89.88,1301,1,SI,NC,No,0,0,20,Sin información,Bajo,Semiurbano,Si,No,Sin información,Foraneo Local,Sin informacion
EFFGBC,AD19,F,Profesional,AMC,89.95,1286,1,SI,NC,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
EFFGBD,AD19,F,Profesional,NEG,94.25,1481,1,SI,Perfil A+,No,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
EFFGEE,AD19,M,Profesional,SLD,96.62,1447,1,SI,Perfil A+,No,0,0,19,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,Si
EFFGFF,AD19,F,Profesional,NEG,81.57,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Semiurbano,No,No,Sin información,Foraneo Local,Sin informacion
EFFGHJ,AD19,F,Profesional,CIS,97.52,1540,1,SI,Perfil A+,Si,0.6,0.2,18,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Si
EFFGID,AD19,F,Profesional,ESC,86.22,1260,1,SI,NC,Si,0.9,0,18,Sin información,Sin información,Rural,Si,No,Si,Foraneo Local,Si
EFFGIF,AD19,M,Profesional,SLD,95.97,1540,1,SI,Perfil A+,Si,0.5,0.1,18,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Si
EFFGIG,AD19,M,Profesional,ICT,92.85,1530,1,SI,Perfil A+,Si,0.5,0.2,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Si
EFFGIH,AD19,F,Profesional,NEG,90.9,1350,1,SI,Perfil A+,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No
EFFGII,AD19,F,Profesional,IBQ,85.82,,1,SI,NC,No,0,0,18,Sin información,Sin información,Semiurbano,No,No,Sin información,Foraneo Local,No
EFFGJB,AD19,M,Profesional,IBQ,94,1310,1,NO,Perfil A,Si,0.4,0.25,19,Sin información,Sin información,Urbano,Si,Si,Si,Foraneo Local,No aplica
EFFGJE,AD19,F,Profesional,NEG,91.39,1400,1,SI,Perfil A+,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
EFFGJF,AD19,M,Profesional,AMC,89.8,1410,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,Si,No,Foraneo Local,Si
EFFGJH,AD19,M,Profesional,IIT,84.87,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,Si
EFFGJI,AD19,M,Profesional,IBQ,92.8,1300,1,SI,Perfil A+,Si,0.45,0.25,18,Sin información,Sin información,Semiurbano,Si,No,Sin información,Foraneo Local,Si
EFFGJJ,AD19,M,Profesional,SLD,87.17,1410,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,Si
EFFGJK,AD19,M,Profesional,IIT,94.87,1560,1,SI,Perfil A+,Si,0.6,0,19,Sin información,Sin información,Rural,Si,No,Sin información,Foraneo Local,Si
EFFGKC,AD19,M,Profesional,ICT,92.05,1490,1,SI,Perfil A+,No,0.45,0.25,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
EFFGKD,AD19,M,Profesional,SLD,92.47,1480,1,SI,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Si
EFFGKE,AD19,F,Profesional,SLD,96.12,1400,1,SI,Perfil A+,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
EFFGKF,AD19,F,Profesional,IBQ,87.15,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Semiurbano,No,Si,Sin información,Local,Si
EFFGKG,AD19,M,Profesional,IIT,86,,1,SI,NC,Si,0.1,0,19,Sin información,Sin información,Urbano,Si,Si,Sin información,Foraneo Local,Si
EFFGKK,AD19,F,Profesional,CIS,93.9,,1,SI,Perfil A+,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No
EFFHBB,AD19,M,Profesional,NEG,84.62,,1,SI,NC,No,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No
EFFHBE,AD19,F,Profesional,CIS,89.87,1330,1,SI,NC,No,0,0,18,Sin información,Sin información,Semiurbano,No,No,Sin información,Foraneo Local,Si
EFFHCE,AD19,M,Profesional,AMC,87.65,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,Si
EFFHCG,AD19,F,Profesional,NEG,87.4,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No
EFFHDC,AD19,F,Profesional,IIT,89.67,1380,1,SI,NC,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
EFFHDH,AD19,M,Profesional,IBQ,80.45,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,No
EFFHDI,AD19,M,Profesional,ESC,84.47,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
EFFHDJ,AD19,F,Profesional,AMC,90.62,,1,SI,Perfil A+,Si,0,0,18,Sin información,Sin información,Semiurbano,No,No,Sin información,Foraneo Local,Si
EFFHEB,AD19,F,Profesional,SLD,87.23,,1,SI,NC,No,0,0,19,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,Si
EFFHEE,AD19,M,Profesional,ICI,85.92,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Semiurbano,No,No,Si,Foraneo Local,Si
EFFHEF,AD19,F,Profesional,NEG,87.55,,1,SI,NC,Si,0.45,0.25,18,Sin información,Sin información,Semiurbano,Si,No,Sin información,Foraneo Local,Si
EHJJGJ,AD19,M,Profesional,NEG,81.41,,1,SI,NC,Si,0,0,21,Sin información,Sin información,Sin información,No,No,Sin información,Local,Sin informacion
EHKHGH,AD19,F,Profesional,AMC,92.2,1350,1,SI,Perfil A+,Si,0.25,0.25,18,7,Bajo,Semiurbano,Si,No,Sin información,Local,No
